transaction_id,date,amount,merchant_raw,description,category_hint,merchant_clean,merchant_extracted,merchant_normalized,normalized_id,merchant_canonical,canonical_id,category,category_confidence,confidence_level,fingerprint,transaction_type
txn_001,2026-01-13,-160.93,SHELL OIL 873157420389,Subscription,transportation,Shell Oil,Shell Oil,Shell Oil,shelloil,Shell Oil,shelloil,utilities,0.531,medium,160.93_20260113_shelloil,repeat
txn_002,2025-12-30,-159.29,MCDONALD'S #8837 CHICAGO,Bill Payment,food,Mcdonald'S Chicago,Mcdonald S Chicago,Mcdonald S Chicago,mcdonaldschicago,Mcdonald S Chicago,mcdonaldschicago,transfer,0.638,medium,159.29_20251230_mcdonaldschicago,repeat
txn_003,2025-12-24,-32.88,AMAZON.COM*2528 SEATTLE,Purchase,shopping,Amazon 2528 Seattle,Amazon 2528 Seattle,Amazon 2528 Seattle,amazon2528seattle,Amazon 2646,amazon2646,shopping,0.612,medium,32.88_20251224_amazon2646,repeat
txn_004,2026-02-11,-7.56,SHELL OIL 739257420389,Bill Payment,transportation,Shell Oil,Shell Oil,Shell Oil,shelloil,Shell Oil,shelloil,transfer,0.653,medium,7.56_20260211_shelloil,one-time
txn_005,2025-12-09,-193.59,CVS/PHARMACY #7290 MIAMI,Debit Card,healthcare,Cvs/Pharmacy Miami,Cvs Pharmacy Miami,Cvs Pharmacy Miami,cvspharmacymiami,Cvs Pharmacy Miami,cvspharmacymiami,healthcare,0.55,medium,193.59_20251209_cvspharmacymiami,one-time
txn_006,2026-01-08,-32.1,ATT MOBILE PAYMENT 5394,Bill Payment,utilities,Att Mobile Payment 5394,Att Mobile Payment,Att Mobile Payment,attmobilepayment,Att Mobile Payment,attmobilepayment,transfer,0.681,medium,32.10_20260108_attmobilepayment,repeat
txn_007,2026-01-08,-44.74,UBER EATS HELP.UBER.COM,Recurring Payment,food,Uber Eats Help.Uber.Com,Uber Eats Help,Uber Eats Help,ubereatshelp,Uber Eats Help,ubereatshelp,transportation,0.507,medium,44.74_20260108_ubereatshelp,repeat
txn_008,2025-12-29,-198.45,MTA*NYCT PAYGO NEW YORK NY,Debit Card,transportation,Mta*Nyct Paygo New York,Mta Nyct Paygo New York,Mta Nyct Paygo New York,mtanyctpaygonewyork,Mta Nyct Paygo New York,mtanyctpaygonewyork,transfer,0.476,low,198.45_20251229_mtanyctpaygonewyork,repeat
txn_009,2026-01-02,-182.49,WAL-MART #5073 SUPER CENTER,Purchase,shopping,Wal-Mart Super Center,Wal Mart Super Center,Wal Mart Super Center,walmartsupercenter,Wal Mart Super Center,walmartsupercenter,shopping,0.6,medium,182.49_20260102_walmartsupercenter,repeat
txn_010,2026-01-11,-46.4,CVS/PHARMACY #9651 MIAMI,Subscription,healthcare,Cvs/Pharmacy Miami,Cvs Pharmacy Miami,Cvs Pharmacy Miami,cvspharmacymiami,Cvs Pharmacy Miami,cvspharmacymiami,healthcare,0.452,low,46.40_20260111_cvspharmacymiami,repeat
txn_011,2025-12-16,-145.07,SPOTIFY USA,Subscription,entertainment,Spotify Usa,Spotify Usa,Spotify Usa,spotifyusa,Spotify Usa,spotifyusa,entertainment,0.369,low,145.07_20251216_spotifyusa,repeat
txn_012,2025-12-04,-59.6,NETFLIX.COM 9882 CA,Debit Card,entertainment,Netflix.Com 9882,Netflix,Netflix,netflix,Netflix,netflix,transfer,0.501,medium,59.60_20251204_netflix,repeat
txn_013,2025-12-18,-37.24,WAL-MART #5246 SUPER CENTER,Bill Payment,shopping,Wal-Mart Super Center,Wal Mart Super Center,Wal Mart Super Center,walmartsupercenter,Wal Mart Super Center,walmartsupercenter,transfer,0.614,medium,37.24_20251218_walmartsupercenter,repeat
txn_014,2026-02-10,-46.24,CVS/PHARMACY #8259 MIAMI,Debit Card,healthcare,Cvs/Pharmacy Miami,Cvs Pharmacy Miami,Cvs Pharmacy Miami,cvspharmacymiami,Cvs Pharmacy Miami,cvspharmacymiami,healthcare,0.55,medium,46.24_20260210_cvspharmacymiami,repeat
txn_015,2025-11-22,-136.08,SQ *SQ *COFFEE SHOP SAN FRANCISCO,Purchase,food,Sq *Coffee Shop San Francisco,Coffee Shop,Coffee Shop,coffeeshop,Coffee Shop,coffeeshop,shopping,0.373,low,136.08_20251122_coffeeshop,repeat
txn_016,2025-12-08,-135.96,NETFLIX.COM 5305 CA,Debit Card,entertainment,Netflix.Com 5305,Netflix,Netflix,netflix,Netflix,netflix,transfer,0.501,medium,135.96_20251208_netflix,repeat
txn_017,2026-02-03,-168.71,CVS/PHARMACY #7555 MIAMI,Subscription,healthcare,Cvs/Pharmacy Miami,Cvs Pharmacy Miami,Cvs Pharmacy Miami,cvspharmacymiami,Cvs Pharmacy Miami,cvspharmacymiami,healthcare,0.452,low,168.71_20260203_cvspharmacymiami,repeat
txn_018,2026-01-25,-198.67,AMAZON.COM*1930 SEATTLE,Purchase,shopping,Amazon 1930 Seattle,Amazon 1930,Amazon 1930,amazon1930,Amazon 2646,amazon2646,shopping,0.612,medium,198.67_20260125_amazon2646,repeat
txn_019,2025-12-04,-36.02,WAL-MART #4799 SUPER CENTER,Debit Card,shopping,Wal-Mart Super Center,Wal Mart Super Center,Wal Mart Super Center,walmartsupercenter,Wal Mart Super Center,walmartsupercenter,shopping,0.646,medium,36.02_20251204_walmartsupercenter,repeat
txn_020,2025-12-02,-44.98,AMAZON.COM*2646 SEATTLE,Subscription,shopping,Amazon 2646 Seattle,Amazon 2646,Amazon 2646,amazon2646,Amazon 2646,amazon2646,utilities,0.517,medium,44.98_20251202_amazon2646,repeat
txn_021,2025-12-23,-129.43,SQ * STARBUCKS #1434 PETERSPORT,Purchase,food,Starbucks Petersport,Starbucks Petersport,Starbucks Petersport,starbuckspetersport,Starbucks Petersport,starbuckspetersport,transfer,0.346,low,129.43_20251223_starbuckspetersport,one-time
txn_022,2025-11-16,-109.91,SQ * STARBUCKS #5815 WEST TARA,Debit Card,food,Starbucks West Tara,West Tara,West Tara,westtara,West Tara,westtara,transfer,0.565,medium,109.91_20251116_westtara,repeat
txn_023,2026-01-07,-191.73,TST* WHOLE FOODS MKT #6037,Debit Card,groceries,Whole Foods Mkt,Whole Foods Mkt,Whole Foods Mkt,wholefoodsmkt,Whole Foods Mkt,wholefoodsmkt,groceries,0.511,medium,191.73_20260107_wholefoodsmkt,repeat
txn_024,2026-02-08,-162.14,TARGET 2688 MINNEAPOLIS,Recurring Payment,shopping,Target 2688 Minneapolis,Target 2688,Target 2688,target2688,Target 2965,target2965,transfer,0.45,low,162.14_20260208_target2965,repeat
txn_025,2026-02-03,-184.07,MTA*NYCT PAYGO NEW YORK NY,Subscription,transportation,Mta*Nyct Paygo New York,Mta Nyct Paygo New York,Mta Nyct Paygo New York,mtanyctpaygonewyork,Mta Nyct Paygo New York,mtanyctpaygonewyork,utilities,0.373,low,184.07_20260203_mtanyctpaygonewyork,repeat
txn_026,2025-11-26,-154.03,PAYPAL *NETFLIX NETFLIX.COM,Subscription,entertainment,Netflix Netflix.Com,Netflix Netflix,Netflix Netflix,netflixnetflix,Netflix,netflix,entertainment,0.341,low,154.03_20251126_netflix,repeat
txn_027,2025-12-18,-114.27,UBER EATS HELP.UBER.COM,Purchase,food,Uber Eats Help.Uber.Com,Uber Eats Help,Uber Eats Help,ubereatshelp,Uber Eats Help,ubereatshelp,transportation,0.474,low,114.27_20251218_ubereatshelp,repeat
txn_028,2025-12-24,-30.62,TARGET 2965 MINNEAPOLIS,Debit Card,shopping,Target 2965 Minneapolis,Target 2965,Target 2965,target2965,Target 2965,target2965,transfer,0.437,low,30.62_20251224_target2965,repeat
txn_029,2025-12-17,-47.78,MCDONALD'S #4078 CHICAGO,Subscription,food,Mcdonald'S Chicago,Mcdonald S Chicago,Mcdonald S Chicago,mcdonaldschicago,Mcdonald S Chicago,mcdonaldschicago,utilities,0.323,low,47.78_20251217_mcdonaldschicago,one-time
txn_030,2026-02-13,-150.73,SPOTIFY USA,Recurring Payment,entertainment,Spotify Usa,Spotify Usa,Spotify Usa,spotifyusa,Spotify Usa,spotifyusa,transfer,0.373,low,150.73_20260213_spotifyusa,one-time
